	company	description	founded_on	categories	num_of_employees	revenue	website	location	funding	funding_stage	founder_names	founder_uuids	investors	num_of_investors	rank_change_week	rank_change_month	rank_change_quarter	rank	status	embedding_distance
8	Memphis.dev	Accelerate Development of Real-time Applications using Memphis.dev Event Streaming Platform	2022-01-05	Apps,Video on Demand,Video Streaming	11-50	NA	https://www.memphis.dev/	Tel Aviv-yafo,Tel Aviv,Israel,Asia	5500000	seed	Yaniv Ben Hemo	0ce77891-fcd9-4292-aed6-1269adac1362	boldstart ventures,Angular Ventures,Guy Podjarny,David Mytton,Martin Brodbeck	7.0	1.1	1.2	-0.1	19041.0	active	0.6999430465607945
93	League of Play	League of Play is an interactive entertainment platform featuring competitions with top creators.	2023-01-01	Digital Media,Information Technology,Media and Entertainment,Music Streaming,Social Media,Sports,Video Streaming	1-10	NA	https://leagueofplay.com	Los Angeles,California,United States,North America	0	seed	Not found	Not found	SOSV	1.0	0.0	0.0	3.5	215807.0	active	0.7022394571633146
40	The Garden	The Garden is an online media company.	2021-01-01	Digital Media,Media and Entertainment,Video Streaming	11-50	$1M to $10M	https://onegarden.com/	London,England,United Kingdom,Europe	3010298	seed	Not found	Not found	Index Ventures,Village Global,Matt Robinson,Ian Hogarth,Fidji Simo	7.0	-0.1	-0.1	0.0	74006.0	active	0.7042413382161048
67	Buzzup	Home for the Creator Generation - merit-based video-sharing platform built for a community of creators.	2021-07-01	Apps,Social Media,Software,Video Streaming	1-10	NA	https://buzzup.co	Los Angeles,California,United States,North America	500000	seed	Jay Cheng	770ff17a-5612-3d89-6b38-4557a3ff4a1a	Not found	NA	0.4	0.2	2.0	115426.0	active	0.7047132697119014
62	INFTE.io	Web3.0	2021-09-01	Content Creators,Marketplace,Video Streaming,Web3	1-10	NA	https://infte.io	Hong Kong,Hong Kong Island,Hong Kong,Asia	1000000	seed	Not found	Not found	Not found	NA	0.2	2.4	1.4	111310.0	active	0.7089951355324116
11	Nümi	Nümi is an online entertainment ecosystem for user-generated content (UGC), gaming, streaming, and more.	2021-01-01	Content Creators,Digital Entertainment,Gaming,Video Streaming,Virtual Reality	101-250	NA	https://numi.net	Abu Dhabi,Abu Dhabi,United Arab Emirates,Asia	20000000	seed	Victor Tumasov	ee54e64a-fa19-4470-a7c7-2b37a2d3326c	Venom Ventures	1.0	0.0	1.9	0.0	29173.0	active	0.7115496266477648
43	Humans Not Robots	Humans Not Robots provide workflow observability and analytics to manage a media supply chain.	2021-03-29	Content Delivery Network,Content Discovery,Information Technology,Media and Entertainment,Video,Video on Demand,Video Streaming	1-10	NA	https://www.humansnotrobots.com	York,York,United Kingdom,Europe	1739594	seed	Kris Brown,Kristan Bullett,Mick Broderick	1ee11ead-a648-456b-af3e-66e63bc8dc91,ceef0bff-0cf1-4678-96ce-28cdc99aa4c6,e39d504c-a58e-42d5-b208-6b6c05ed7ec0	Turquoise International,VGC Partners,Blue Lake	3.0	0.0	0.9	2.6	75728.0	active	0.7122273504933969
14	PeerDB	Data store-first ETL/ELT, enabling 10x faster syncs and transforms	2023-05-01	Database,Real Time,Video Streaming	1-10	NA	https://peerdb.io/	San Carlos,California,United States,North America	500000	seed	Not found	Not found	Y Combinator	1.0	0.1	0.6	0.4	36974.0	active	0.7130478939903175
51	Twigo.gg	Interactive Gaming Platform	2021-10-01	Advertising,Gaming,Video Streaming	1-10	NA	https://www.twigo.gg	Tel Aviv,Tel Aviv,Israel,Asia	3000000	seed	Eyal Ben Shalom,Shai Krayzberg,Sol Tzvi	482899c8-c03a-457a-a620-739eeddebfeb,e931605a-1457-4d17-a9c3-2ee2a0dbca55,c243ab40-b7dd-1f76-7903-ab8d6fa3c47e	Not found	NA	0.3	0.3	-0.3	90990.0	active	0.7144596937538386
20	MeltingSpot	MeltingSpot is a video-first community platform designed to help you start, grow, and engage all your communities	2021-01-01	Communities,Video Streaming	11-50	$1M to $10M	https://meltingspot.io	Paris,Ile-de-France,France,Europe	2871895	seed	Not found	Not found	Kima Ventures,Isai,Thibaud Elziere,Matters,Ankaa Ventures	11.0	0.5	1.4	-0.3	48341.0	active	0.716667540693834
25	VRenity, Inc.	VRenity crafts unforgettable immersive experiences with bilateral stimulation and 4K displays that promote mindfulness.	2023-03-19	Audio,Augmented Reality,Mental Health,Music Streaming,Video,Video on Demand,Video Streaming,Virtual Reality,Wellness	1-10	NA	https://vrenity.com/	Seattle,Washington,United States,North America	400000	seed	Nolie MacDonald	b0770443-52be-4933-a978-37bfd0890655	Not found	NA	-0.1	0.7	-0.5	57073.0	active	0.7221110629954279
108	Funzz	Funzz is a video community app for creating and discovering funny video content	2022-01-01	Apps,Content Creators,Content Discovery,Social Media,Video Streaming	1-10	NA	https://funzz.in/	Bengaluru,Karnataka,India,Asia	0	NA	Krutika Badri,Rakesh Kodate,Ranjitgoud Biradar	43160b0d-5fc5-49ce-9da0-c3122b008009,cc6b34bf-c845-41ac-b80b-a7fc2d74e2e2,48c2c535-63ff-4bc5-935f-5ff8b3159614	Microsoft for Startups	1.0	-0.3	-0.2	-0.7	521054.0	active	0.7225361954927476
118	Glide HQ	Next-gen news and storytelling app focused on global issues, powered by independent creators worldwide	2021-08-08	Content Creators,Information Technology,Journalism,Media and Entertainment,News,Publishing,Social Impact,Social Media,Social Network,Video Streaming	1-10	NA	http://glidehq.io	London,England,United Kingdom,Europe	0	seed	Chanel Monteine,Ksenia Isakova	ecf1a067-702c-4b32-8ad3-896ada837073,34cfee1a-e5b2-4692-9ee1-58f614c53325	APX	1.0	-0.2	-0.1	3.9	1857175.0	active	0.7227306971261922
3	LiveKit	Real-time video, audio, and data for developers	2021-03-11	Mobile Apps,Real Time,Video Streaming	11-50	$1M to $10M	https://livekit.io/	Saratoga,California,United States,North America	33764544	NA	David Zhao,Russell D'Sa	f06c216e-d47c-4d11-80fe-527bf0bfd6a8,8694c2c4-6c71-0ff6-a99e-259f017c0d30	Not found	NA	0.6	3.8	-0.2	8682.0	active	0.7229002390168182
113	Dayu Master Class	Dayu Master Class provides users with video course content from celebrity masters, covering literature, music, food, sports, business, etc.	2021-01-01	Apps,Content,Content Creators,Video Streaming	NA	NA	http://www.dayuclass.com/	Beijing,Beijing,China,Asia	0	seed	Not found	Not found	Xinshixiang,Changtian Wang	2.0	-0.2	0.4	-0.6	862068.0	active	0.7262418330853957
52	Jamyr	Jamyr offers a platform and service to scale video content for recruiting.	2021-01-01	Advertising,Video Streaming	1-10	Less than $1M	https://www.jamyr.com	Wilmington,Delaware,United States,North America	200000	m_and_a	Not found	Not found	TinySeed	1.0	0.5	0.1	0.5	91717.0	active	0.7270691649366932
61	Visualax	Unlocking the 3rd Dimension for Video - Holographic Videos	2021-02-15	Augmented Reality,Generative AI,Information Technology,Software,Video Streaming	1-10	NA	https://www.deepmirage.ai	London,England,United Kingdom,Europe	98405	seed	Amith Lankesar	39ee78ce-72f6-4009-b8dd-6860fe5a87a1	Amith Lankesar	1.0	0.0	1.3	3.3	110583.0	active	0.7271252538317574
45	Crater.Club	A live streaming & auctions platform for creators & educators.	2021-09-01	Online Auctions,Social Media,Video Streaming	1-10	NA	https://crater.club/	Bangalore,Karnataka,India,Asia	1200000	seed	Vivan Puri	dd157cc8-3cff-46ae-8b5a-b19f7c3e7df2	Lumikai,LC Nueva Investment Partners	2.0	0.2	0.2	3.0	77334.0	active	0.7339287680372835
74	8 Track Entertainment	8 Track Entertainment is a provider of entertainment services.	2021-01-01	Media and Entertainment,Music,Sports,TV,TV Production	1-10	NA	https://www.8trackent.com	Nashville,Tennessee,United States,North America	1517250	seed	Not found	Not found	Not found	NA	-0.2	-0.4	-0.7	134248.0	active	0.7364860760715425
57	FIRA LIVE RETAIL	Fira is a technological convergence platform that focuses on online shoppers.	2021-02-03	E-Commerce,Social,Video Streaming	11-50	$1M to $10M	https://fira-live.com	Barcelona,Catalonia,Spain,Europe	1719108	seed	Carlos O'Rian,Javier Molina Romero	0b11520d-b9d2-4721-9b9e-4ebc68a594af,f2457abc-d12f-4cff-b6a0-46018a136be0	Not found	NA	-0.2	-0.3	2.6	96743.0	active	0.7369769357767944
68	Desetech Systems	Desetech Systems SRL is a Dominican technology and media company dedicated to the advancement of metaverse technology.	2021-02-06	Cryptocurrency,Film Production,Information Technology,Media and Entertainment,Metaverse,Payments,Software,TV Production,Video Streaming	11-50	NA	https://blocklite.org	Santo Domingo,Distrito Nacional,Dominican Republic,North America	405000	m_and_a	Tristan Desechenes	1d4f9ebd-90c9-4711-bfa0-a074f6065a64	Tristan Desechenes,Rafell Alexander Encarnacion	2.0	0.0	-0.2	-0.1	118289.0	active	0.7384496051725202
5	Sequel.io	Sequel.io is a no-code/low-code solution that allows brands to host events right on their website.	2021-01-01	Digital Marketing,Events,Information Technology,Media and Entertainment,Video Streaming	11-50	Less than $1M	https://sequel.io	San Francisco,California,United States,North America	10700000	early_stage_venture	Andrei Ermilov,Oana Manolache	789b78e9-c587-4b64-b583-bd767a6af5dd,f618cc46-4fc1-4809-a14a-2a9505eeda10	Techstars,Alumni Ventures,Green D Ventures,Javelin Venture Partners,Social Leverage	17.0	0.7	3.2	5.7	14418.0	active	0.7384520493563134
85	A-Ball inc.	A-ball is a sports network designed to connect amateur athletes, teams, and fans to share their experiences, statues and highlights.	2021-01-02	Internet,Social Media,Sports,Video Streaming	11-50	NA	https://aball.net	Baltimore,Maryland,United States,North America	150000	seed	Uranius Johnson	07d3d200-c668-471e-84aa-3d10d4216f3a	Not found	NA	0.3	2.9	0.6	162837.0	active	0.7394619877663113
7	Cheelee	Cheelee is a SocialFi short video content platform that rewards users for watching a feed.	2021-01-01	Blockchain,Media and Entertainment,Social Media,Video Streaming,Web3	101-250	$1M to $10M	https://cheelee.io	Singapore,Central Region,Singapore,Asia	21750000	NA	Roman Alekseev,Ruslan Sharov,Yuriy Kardnov	1d670826-1b8f-4762-8d1f-3cb323058a77,05a4ba6a-d118-48c3-90d4-d900f8f22fa0,d51c32f9-e12e-4e99-abee-b12d1e599135	Gotbit,Veligera Capital,Infinity Capital,R-930 Capital,VC SILA	5.0	-0.1	-0.1	0.3	14841.0	active	0.7396461010871882
65	Eventuall ·	The Premier Modular Platform for Engaging Hybrid & Virtual Events.	2021-04-07	Events,Software,Video Streaming	1-10	Less than $1M	https://Eventuall.io	Los Angeles,California,United States,North America	540000	seed	Scott Addison Clay	67effb65-6503-4e1b-acf9-f3fe48718a0b	Wolfpack Investor Network	1.0	0.2	-0.1	-0.2	114842.0	active	0.7412401489369309
64	Hentai King	Hentai King is an American online video sharing website focused on hentai.	2022-01-01	Adult,Internet,Video,Video Streaming	1-10	NA	NA	New York,New York,United States,North America	1000000	seed	Not found	Not found	Google	1.0	0.2	1.0	0.0	113139.0	active	0.7422425597745391
19	Video SDK	Live video infrastructure for every developer	2021-01-01	Developer APIs,Developer Tools,Video Conferencing,Video Streaming	51-100	NA	https://www.videosdk.live	Surat,Gujarat,India,Asia	1200000	seed	Arjun Kava,Sagar Kava	a495c3a6-09eb-4906-bcf9-ad6543578fdd,b05f76c2-8902-41fd-b0c9-9ec2d003df5b	GVFL	1.0	-0.1	-0.1	-0.5	48202.0	active	0.7431194640505543
22	LALA	LALA is creating the world's first digital collectible marketplace.	2022-01-01	Digital Entertainment,Media and Entertainment,TV	1-10	$1M to $10M	https://lala.xyz/	Miami,Florida,United States,North America	3000000	seed	Not found	Not found	Seven Seven Six	1.0	0.0	0.1	2.9	53292.0	active	0.7441510893711172
16	Crossing	Crossing Inc is an American leading retailer, manufacturer and publisher of sports collectibles and trading cards.	2021-01-01	Collectibles,E-Commerce,Shopping,Video Streaming	101-250	NA	https://www.crossingcards.com	Los Angeles,California,United States,North America	1568874	seed	Jay Yue	ec84936e-2f76-474a-9a90-28e189838e7d	UpHonest Capital,Pareto Holdings,Jon Oringer,Nadav Ben-Chanoch,Wei Guo	6.0	0.0	2.0	1.1	43958.0	active	0.7455968054121992
66	TallyIt	TallyIt offers a mobile application for a challenge-based social media platform that focuses primarily on short-form video content.	2023-01-01	Apps,SaaS,Social Media,Video,Video Streaming	11-50	NA	https://www.tallyitapp.com/	Wilmington,Delaware,United States,North America	50000	seed	Not found	Not found	Not found	NA	-0.2	-0.3	-0.9	115405.0	active	0.7473718261867082
53	TipTip	TipTip is a monetization platform for creators and a one-stop-shopping & learning for digital content and live sessions.	2021-10-01	Content Creators,Video on Demand,Video Streaming	51-100	$1M to $10M	https://www.tiptip.tv	Jakarta,Jakarta Raya,Indonesia,Asia	23000000	early_stage_venture	Albert Lucius	88e5cd5c-423f-5e60-a35f-cf160d6209b9	East Ventures,Vertex Ventures,Emtek Group,SMDV,BIG Ventures	5.0	0.3	0.7	1.8	92241.0	active	0.7491072832229295
95	Vien	Vien is a provider of automated translation of large volumes of video in HD quality in guaranteed time at the lowest price.	2021-01-01	TV,Video	11-50	$1M to $10M	https://www.vien.io	Moscow,Moscow City,Russian Federation,Europe	20000	seed	Not found	Not found	Winno Moscow	1.0	-0.1	1.0	-0.3	258990.0	active	0.7495229603170586
55	Ringo	Ringo is a B2B music-for-media procurement platform, making music licensing for advertising agencies and brands 10x faster and 6x cheaper.	2021-08-24	Advertising,Film,Media and Entertainment,Music,TV,Video Games	1-10	NA	https://www.thisisringo.com/	Amsterdam,Noord-Holland,The Netherlands,Europe	383000	seed	Marcel Alexander Wiebenga,Nicholas van den Doel	3e7aeaa7-d91b-4183-9ada-b158021a9107,d05f9b73-c7bf-4ba4-9648-d1adeb079981	Innovatiefonds Noord-Holland	1.0	0.0	-0.2	0.3	94352.0	active	0.7503259568896181
42	Stadeo	Real-time engagement for global football (soccer) fans	2021-05-01	Metaverse,Mobile Apps,Private Social Networking,Soccer,Video Streaming,Web3	11-50	$1M to $10M	https://www.stadeo.com	Dallas,Texas,United States,North America	1350000	seed	Not found	Not found	Not found	NA	-0.1	0.0	-0.4	75513.0	active	0.7554636546325414
92	Jamble	Jamble is a fashion resale platform that enables users to buy and sell used clothing.	2021-01-01	Fashion,Marketplace,Retail,Video Streaming	1-10	$1M to $10M	https://www.jambleapp.com	San Francisco,California,United States,North America	0	seed	Not found	Not found	Y Combinator,Goodwater Capital,Pioneer Fund	3.0	-0.1	0.0	-0.2	195623.0	active	0.7561385570990505
10	Lingopal	SaaS API Layer for translation	2023-01-01	Software,Translation Service,Video Streaming	11-50	$1M to $10M	http://lingopal.ai/	New York,New York,United States,North America	2200000	seed	Casey Schneider,Deven Orie	6bad097b-38eb-46b6-9936-fada100528a5,c404cf9a-58a7-4444-8850-3006e849a21c	Cory Levy,AI Investments	2.0	0.5	1.5	-0.1	24558.0	active	0.7561824866436198
44	The Pulse	Lights - Camera - Hashtag	2023-01-01	Broadcasting,Film,News,Theatre,TV	11-50	NA	https://pulse-by-nflinvestments.webflow.io	Dubai,Dubai,United Arab Emirates,Asia	3000000	seed	Not found	Not found	Dragonfly,Coinbase Ventures,Nascent,Scalar Capital,NFL Investments	6.0	0.5	-0.2	-0.4	76667.0	active	0.7564606423733846
